Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,3.16,3.20,3.14,3.18,6815300,3.18
2016-12-22,3.19,3.23,3.10,3.14,6892400,3.14
2016-12-21,3.26,3.29,3.17,3.19,9409000,3.19
2016-12-20,3.16,3.20,3.07,3.18,10566800,3.18
2016-12-19,3.29,3.31,3.07,3.10,16261100,3.10
2016-12-16,3.38,3.41,3.21,3.22,8294100,3.22
2016-12-15,3.29,3.44,3.26,3.41,10609400,3.41
2016-12-14,3.33,3.45,3.22,3.22,25916200,3.22
2016-12-13,3.62,3.69,3.51,3.52,8677300,3.52
2016-12-12,3.66,3.73,3.59,3.67,9623100,3.67
2016-12-09,3.98,4.00,3.77,3.81,10718800,3.81
2016-12-08,4.10,4.12,3.97,4.05,9708600,4.05
2016-12-07,3.93,4.10,3.92,4.10,19172200,4.10
2016-12-06,3.75,3.90,3.73,3.89,8322500,3.89
2016-12-05,3.83,3.91,3.78,3.86,9394400,3.86
2016-12-02,3.57,3.79,3.56,3.74,19671400,3.74
2016-12-01,3.96,3.99,3.71,3.78,21859000,3.78
2016-11-30,4.06,4.18,3.99,4.04,13695200,4.04
2016-11-29,4.17,4.21,4.03,4.09,12859800,4.09
2016-11-28,4.19,4.31,4.16,4.28,7034300,4.28
2016-11-25,4.16,4.16,4.06,4.13,4705600,4.13
2016-11-23,4.07,4.26,4.06,4.26,14002100,4.26
2016-11-22,4.17,4.19,4.06,4.18,9612200,4.18
2016-11-21,4.02,4.06,3.95,4.00,7800600,3.994
2016-11-18,3.81,3.92,3.69,3.87,11744300,3.864195
2016-11-17,3.74,3.85,3.71,3.72,6155400,3.71442
2016-11-16,3.75,3.75,3.56,3.70,9565900,3.69445
2016-11-15,3.85,3.87,3.76,3.78,9136100,3.77433
2016-11-14,3.65,3.92,3.62,3.91,15863900,3.904135
2016-11-11,3.68,3.70,3.33,3.61,17469200,3.604585
2016-11-10,3.78,3.95,3.66,3.69,31131100,3.684465
2016-11-09,3.55,3.82,3.55,3.74,19217000,3.73439
2016-11-08,3.40,3.56,3.33,3.50,9964600,3.49475
2016-11-07,3.36,3.47,3.34,3.45,11376600,3.444825
2016-11-04,3.10,3.26,3.06,3.17,8615400,3.165245
2016-11-03,3.19,3.25,3.07,3.10,17199900,3.09535
2016-11-02,3.23,3.23,3.08,3.12,6418600,3.11532
2016-11-01,3.42,3.46,3.19,3.23,15522000,3.225155
2016-10-31,3.46,3.47,3.35,3.43,12737400,3.424855
2016-10-28,3.42,3.43,3.35,3.40,14439100,3.3949
2016-10-27,3.40,3.41,3.32,3.32,7587000,3.31502
2016-10-26,3.29,3.36,3.25,3.34,9370100,3.33499
2016-10-25,3.25,3.42,3.25,3.35,8401500,3.344975
2016-10-24,3.52,3.52,3.33,3.35,12028100,3.344975
2016-10-21,3.21,3.36,3.18,3.34,12995500,3.33499
2016-10-20,3.13,3.27,3.12,3.23,7494200,3.225155
2016-10-19,3.10,3.18,3.10,3.16,9533400,3.15526
2016-10-18,3.04,3.15,3.02,3.11,8723300,3.105335
2016-10-17,2.93,2.98,2.92,2.95,2809200,2.945575
2016-10-14,3.00,3.00,2.90,2.90,5377800,2.89565
2016-10-13,2.86,2.92,2.80,2.90,10526600,2.89565
2016-10-12,2.90,2.98,2.78,2.90,3751600,2.89565
2016-10-11,3.01,3.03,2.91,2.91,9143900,2.905635
2016-10-10,2.99,3.04,2.96,3.01,11880200,3.005485
2016-10-07,2.95,3.00,2.89,2.98,16148900,2.97553
2016-10-06,2.78,2.89,2.78,2.87,9288900,2.865695
2016-10-05,2.74,2.81,2.71,2.80,5567600,2.7958
2016-10-04,2.76,2.80,2.67,2.68,4351300,2.67598
2016-10-03,2.73,2.80,2.71,2.80,4750600,2.7958
2016-09-30,2.77,2.79,2.72,2.72,5160200,2.71592
2016-09-29,2.79,2.86,2.70,2.73,10951300,2.725905
2016-09-28,2.70,2.79,2.66,2.79,5321100,2.785815
2016-09-27,2.65,2.67,2.57,2.66,3822200,2.65601
2016-09-26,2.60,2.68,2.60,2.64,5135000,2.63604
2016-09-23,2.63,2.73,2.61,2.67,6985300,2.665995
2016-09-22,2.78,2.81,2.67,2.67,6643900,2.665995
2016-09-21,2.62,2.74,2.58,2.71,7808100,2.705935
2016-09-20,2.61,2.61,2.49,2.54,7256200,2.53619
2016-09-19,2.61,2.66,2.52,2.55,6877900,2.546175
2016-09-16,2.54,2.57,2.47,2.55,13635300,2.546175
2016-09-15,2.60,2.64,2.54,2.62,6969300,2.61607
2016-09-14,2.58,2.65,2.52,2.59,12145600,2.586115
2016-09-13,2.79,2.82,2.55,2.57,9814200,2.566145
2016-09-12,2.70,2.87,2.68,2.86,9916700,2.85571
2016-09-09,2.90,2.92,2.75,2.76,10881600,2.75586
2016-09-08,3.00,3.04,2.92,2.99,15656700,2.985515
2016-09-07,2.98,3.00,2.86,2.91,6936100,2.905635
2016-09-06,2.94,2.96,2.86,2.96,6141900,2.95556
2016-09-02,2.78,2.89,2.75,2.89,13658800,2.885665
2016-09-01,2.77,2.78,2.69,2.70,15026500,2.69595
2016-08-31,2.82,2.85,2.69,2.76,12207400,2.75586
2016-08-30,2.84,2.91,2.76,2.79,5481500,2.785815
2016-08-29,2.77,2.87,2.75,2.84,4359000,2.83574
2016-08-26,2.84,2.93,2.74,2.77,6473400,2.765845
2016-08-25,2.84,2.88,2.77,2.79,5799000,2.785815
2016-08-24,2.90,2.92,2.78,2.78,12489900,2.77583
2016-08-23,3.05,3.10,2.95,2.96,16933000,2.95556
2016-08-22,3.12,3.15,2.96,2.96,12602700,2.945575
2016-08-19,3.15,3.17,3.04,3.14,14727700,3.124698
2016-08-18,3.14,3.19,3.12,3.15,20002000,3.134649
2016-08-17,2.87,3.07,2.84,3.04,16274000,3.025185
2016-08-16,3.01,3.09,2.94,2.96,13632400,2.945575
2016-08-15,2.84,3.01,2.83,3.00,12797200,2.98538
2016-08-12,2.80,2.90,2.79,2.79,9376800,2.776403
2016-08-11,2.74,2.84,2.66,2.84,14266200,2.82616
