Date,Open,High,Low,Close,Volume,Adj Close
2016-12-23,25.559999,26.01,25.32,25.41,1976200,25.41
2016-12-22,26.370001,26.370001,25.040001,25.059999,2296500,25.059999
2016-12-21,26.07,26.540001,25.85,26.389999,1879400,26.389999
2016-12-20,25.860001,26.16,25.84,26.120001,1030700,26.120001
2016-12-19,25.41,25.91,25.41,25.90,1314500,25.90
2016-12-16,25.35,25.68,25.290001,25.42,3279500,25.42
2016-12-15,25.27,25.709999,25.10,25.34,1964800,25.34
2016-12-14,26.34,26.42,25.190001,25.280001,2373300,25.280001
2016-12-13,26.51,26.85,26.33,26.389999,2396800,26.389999
2016-12-12,26.059999,26.469999,25.77,26.42,2141700,26.42
2016-12-09,25.90,26.33,25.77,26.02,2446900,26.02
2016-12-08,26.00,26.18,25.540001,25.969999,3096700,25.969999
2016-12-07,25.17,26.110001,25.16,25.940001,2795700,25.940001
2016-12-06,24.65,24.93,24.59,24.889999,1504800,24.889999
2016-12-05,24.440001,24.879999,24.27,24.52,2333800,24.52
2016-12-02,24.610001,24.83,24.129999,24.27,1570400,24.27
2016-12-01,24.66,25.02,24.450001,24.639999,1440700,24.639999
2016-11-30,24.459999,24.84,24.25,24.690001,2763100,24.690001
2016-11-29,24.85,25.030001,24.35,24.49,2321100,24.49
2016-11-28,26.00,26.00,24.76,25.15,2815700,24.779999
2016-11-25,26.139999,26.49,25.780001,25.82,2313300,25.440143
2016-11-23,24.780001,26.41,24.639999,26.059999,9376800,25.676612
2016-11-22,23.690001,24.209999,23.60,24.110001,3741700,23.755301
2016-11-21,23.530001,23.57,23.16,23.459999,2235500,23.114862
2016-11-18,23.370001,23.540001,23.030001,23.459999,1679000,23.114862
2016-11-17,23.309999,23.50,23.01,23.459999,1143500,23.114862
2016-11-16,22.530001,23.18,22.440001,23.059999,1708300,22.720747
2016-11-15,22.93,22.99,22.190001,22.65,2216800,22.316779
2016-11-14,22.440001,23.290001,22.40,22.99,2075400,22.651777
2016-11-11,21.809999,22.370001,21.50,22.32,2197400,21.991634
2016-11-10,21.76,22.52,21.709999,21.870001,2523800,21.548255
2016-11-09,20.59,21.610001,20.50,21.530001,1740500,21.213257
2016-11-08,21.139999,21.25,20.860001,20.91,1884000,20.602377
2016-11-07,21.00,21.530001,20.75,21.24,2881800,20.927522
2016-11-04,20.790001,21.219999,20.610001,20.73,3076400,20.425025
2016-11-03,20.77,20.92,20.52,20.83,5559900,20.523554
